Customer,Product Code,Product Description,Location,Trans.#,Trans.Date,Transfer Type,Qty,Price,Cost,Amount
Behr Paint Company - Saint Andrews,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469015,02/04/2026,store_order,12,0.82,0.63,9.84
Bobrick Washroom Equipment Inc,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469042,02/04/2026,store_order,12,1.00,0.63,12.00
Coca Cola Co.,PC16246,Coke Diet 12oz,,BILL/2026/0049,02/03/2026,bill,16,0.00,0.63,10.08
Coca Cola Co.,PC16246,Coke Diet 12oz,,P02385,02/03/2026,purchase,384,0.00,0.63,241.92
Coca Cola Co.,PC16246,Coke Diet 12oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02393,02/03/2026,material_receipt,16,0.00,0.63,10.08
Long Beach Convention & Entertainment Center,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468824,02/02/2026,store_order,5,1.49,0.63,7.45
,,,,,,TOTAL,8,0.82,0.63,$6.56
Behr Paint Company - Standard,PC16247,Coke Cherry 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469016,02/04/2026,store_order,8,0.82,0.63,6.56
,,,,,,TOTAL,232,4.45,4.64,$142.00
Behr Paint Company - Standard,PC16248,Brisk 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469203,02/06/2026,store_order,4,0.89,0.58,3.56
Behr Paint Company - Garry,PC16248,Brisk 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469271,02/06/2026,store_order,2,0.89,0.58,1.78
Pepsi Bottling Co,PC16248,Brisk 12oz,,BILL/2026/0051,02/04/2026,bill,8,0.00,0.58,4.64
Pepsi Bottling Co,PC16248,Brisk 12oz,,P02388,02/04/2026,purchase,192,0.00,0.58,111.36
Pepsi Bottling Co,PC16248,Brisk 12oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02395,02/04/2026,material_receipt,8,0.00,0.58,4.64
Behr Paint Company - Saint Andrews,PC16248,Brisk 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469015,02/04/2026,store_order,6,0.89,0.58,5.34
Behr Paint Company - Standard,PC16248,Brisk 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469016,02/04/2026,store_order,9,0.89,0.58,8.01
Behr Paint Company - Garry,PC16248,Brisk 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469017,02/04/2026,store_order,3,0.89,0.58,2.67
,,,,,,TOTAL,72,6.05,4.48,$62.72
Behr Paint Company - Standard,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469203,02/06/2026,store_order,10,0.82,0.64,8.20
Altura Credit Union HOC,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469223,02/06/2026,store_order,6,0.99,0.64,5.94
Behr Paint Company - Garry,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469271,02/06/2026,store_order,4,0.82,0.64,3.28
Vistar Southern California,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469009,02/04/2026,store_order,16,0.99,0.64,15.84
Behr Paint Company - Standard,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469016,02/04/2026,store_order,17,0.82,0.64,13.94
Behr Paint Company - Garry,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469017,02/04/2026,store_order,17,0.82,0.64,13.94
Ultraserv Automated Services,PC16249,Sprite 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468948,02/03/2026,store_order,2,0.79,0.64,1.58
,,,,,,TOTAL,18,7.81,1.95,$51.70
Behr Paint Company - Saint Andrews,PC16250,Dr Pepper Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469200,02/06/2026,store_order,7,0.82,0.65,5.74
Altura Credit Union HOC,PC16250,Dr Pepper Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469223,02/06/2026,store_order,4,0.99,0.65,3.96
Sandbourne Santa Monica - Autograph Collection,PC16250,Dr Pepper Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469019,02/04/2026,store_order,7,6.00,0.65,42.00
,,,,,,TOTAL,136,11.55,2.84,$97.92
Vistar,PC16263,Fritos Original Corn Chips,,BILL/2026/0052,02/04/2026,bill,2,3.50,0.71,1.42
Vistar,PC16263,Fritos Original Corn Chips,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02396,02/04/2026,material_receipt,2,3.50,0.71,1.42
Bobrick Washroom Equipment Inc,PC16263,Fritos Original Corn Chips,Ultraserv Automated Services Transit/Stock,Ultra/INT/469042,02/04/2026,store_order,4,1.05,0.71,4.20
Vistar,PC16263,Fritos Original Corn Chips,,P02382,02/01/2026,purchase,128,3.50,0.71,90.88
,,,,,,TOTAL,710,120.29,40.04,"$1,573.69"
Behr Paint Company - Midway Coatings Cantina,PC16264,Dole Orange Juice,Ultraserv Automated Services Transit/Stock,Ultra/INT/469205,02/06/2026,store_order,6,2.64,1.54,15.84
Behr Paint Company - Garry,PC16264,Dole Orange Juice,Ultraserv Automated Services Transit/Stock,Ultra/INT/469271,02/06/2026,store_order,2,2.64,1.54,5.28
